priority	source_id	source	url	modality	assembly	access	cell_states	stage2_use	download_action	notes
1	fantom5_grch38_cage_tss	FANTOM5 / UCSC	https://genome.ucsc.edu/cgi-bin/hgTrackUi?db=hg38&g=fantom5	CAGE TSS positions and sample TPM/counts	GRCh38/hg38	public	human primary cells, immune cells, blood cells, cell lines	Preferred TSS source and transcription-initiation signal for promoter windows.	Download hg38 FANTOM5 DPI/TSS peaks and TSS activity TPM/count tracks.	Use promoter/TSS activity as the initiation feature; map sample names into the harmonized lineage labels.
2	encode_cage_rampage	ENCODE	https://www.encodeproject.org/data-standards/rampage/	RAMPAGE/CAGE	mostly GRCh38/hg38	public	available ENCODE biosamples, including selected hematopoietic samples	Supplement FANTOM5 with direct TSS/initiation evidence where matched cell states exist.	Query ENCODE for released RAMPAGE/CAGE bigWig or peak outputs.	RAMPAGE is base-pair TSS evidence and quantifies TSS expression; use when cell-state matched.
3	encode_accessibility_rnaseq	ENCODE	https://www.encodeproject.org/	DNase-seq, ATAC-seq, total/polyA RNA-seq	mostly GRCh38/hg38	public	CD34/HSPC, T, NK, B, monocyte/myeloid, erythroid, megakaryocyte when available	Accessibility and expression features for target/off-target promoter scoring.	Use live ENCODE query output from this script, then fetch preferred bigWig/TSV outputs.	Prefer matched assay/cell-state data; otherwise use BLUEPRINT/Roadmap/DICE fallback.
4	dice_immune_tpm	DICE	https://dice-database.org/downloads	bulk RNA-seq TPM and immune eQTLs	GRCh37.p19 for blood dataset; gene-level expression	public	naive B, monocytes, NK CD56dim CD16+, CD4/CD8/Treg/Th subsets	Mature immune expression reference for T/NK targets and B/myeloid off-targets.	Download all-cell-type mean TPM plus per-cell TPM tables.	Gene-level expression should be joined to promoter genes; no coordinate liftover needed for TPM.
5	blueprint_processed_hematopoietic	BLUEPRINT	https://projects.ensembl.org/blueprint/	RNA-seq, DNase-seq, ChIP-seq/histone marks, methylation	source-dependent; processed files include reference metadata	mixed public/controlled	hematopoietic lineages including monocyte examples and broader blood cell releases	Primary hematopoietic epigenome/expression backbone when accessible.	Use processed FTP files when public; record controlled-access datasets separately.	High-value source for blood-cell epigenomes; not all samples are immediately downloadable.
6	roadmap_epigenomics	NIH Roadmap Epigenomics	https://registry.opendata.aws/roadmapepigenomics/	DNase, histone marks, methylation, mRNA expression	mostly hg19	public	CD34 and immune/blood reference states where available	Fallback epigenome tracks and sanity-check promoter chromatin states.	Use AWS/Open Data directory listing; lift hg19 coordinates to hg38 if coordinate-level.	Public and stable, but older assembly and older assays.
7	hca_cd34_bone_marrow	Human Cell Atlas	https://explore.data.humancellatlas.org/projects/091cf39b-01bc-42e5-9437-f419a66c8a45	single-cell RNA-seq	gene-level processed matrices	public	CD34-positive, CD38-negative HSCs and bone marrow differentiation context	HSC/HSPC leakiness baseline and pseudobulk differentiation-state expression.	Download h5ad/loom processed outputs and build HSC/progenitor pseudobulk tables.	Use as biological context and HSC expression baseline; not a direct promoter initiation assay.
8	encode_screen_ccres	ENCODE SCREEN / UCSC	https://genome.ucsc.edu/cgi-bin/hgTrackUi?db=hg38&g=encodeCcreCombined	cCRE annotations and biosample-specific regulatory support	GRCh38/hg38	public	ENCODE4 core biosamples and integrated cCRE registry	Promoter/enhancer annotation, active promoter support, and genomic QC.	Download integrated hg38 cCREs and biosample-specific cCRE support if needed.	Use to tag promoters as PLS/pELS/dELS/CTCF-like and deprioritize ambiguous regions.
9	jaspar_core_vertebrates	JASPAR	https://jaspar.elixir.no/downloads/	TF motif PFMs/PWMs	not applicable	public	not cell-state-specific	Motif enrichment, interpretability, target lineage motif checks, unwanted motif filters.	Download JASPAR CORE vertebrate non-redundant PFMs in MEME or JASPAR format.	Use alongside HOCOMOCO; do not overfit ranking only to motif presence.
10	hocomoco_v12_human	HOCOMOCO	https://hocomoco14.autosome.org/downloads_v12	human/mouse TF motif PWMs/PFMs	not applicable	public	not cell-state-specific	Secondary motif library for robustness and unwanted off-target motif filters.	Download H12CORE or H12INVIVO human PWM/PFM flat files.	Use human subset for scanning 200bp promoter candidates.
11	gencode_v38	GENCODE	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_38/gencode.v38.annotation.gtf.gz	gene annotation	GRCh38/hg38	public	all genes	Fallback TSS and gene ID mapping when FANTOM5 TSS is absent.	Download gencode.v38.annotation.gtf.gz.	Use protein-coding genes by default unless promoter atlas says otherwise.
12	ucsc_hg38_fasta	UCSC	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.fa.gz	reference genome FASTA	GRCh38/hg38	public	not applicable	Extract 200bp promoter-proximal windows.	Download and index hg38.fa.gz or use a mounted reference FASTA.	Needed only when building promoter windows from coordinates.
